"","salary","age","elevel","car","zipcode","credit","brand"
"1",110499.7354,54,3,15,4,354724.1825,"Belkin"
"2",140893.7791,44,4,20,7,395015.339,"Elago"
"3",119159.6517,49,2,1,3,122025.0852,"Belkin"
"4",93956.32049,59,1,15,1,458679.8262,"Belkin"
"5",41365.43328,71,2,7,2,216839.7152,"Belkin"
"6",94805.61113,32,1,17,1,233216.0707,"Belkin"
"7",34410.6276,33,4,17,0,450707.3812,"Elago"
"8",128298.8212,32,1,19,2,20768.06415,"Elago"
"9",100806.9209,58,2,8,4,293106.6546,"Belkin"
"10",49863.40964,22,1,12,1,156086.6867,"Elago"
"11",94554.18804,47,4,12,2,100467.99,"Belkin"
"12",79637.65823,41,2,1,3,387564.5476,"Belkin"
"13",87085.57895,40,4,9,2,458378.0004,"Belkin"
"14",126945.6663,62,3,4,4,211178.9014,"Elago"
"15",29080.92083,58,1,13,3,29965.97517,"Belkin"
"16",147561.7258,28,4,6,8,322196.3147,"Elago"
"17",72346.05201,37,3,15,8,403166.447,"Belkin"
"18",52129.77195,44,3,9,6,73639.45893,"Elago"
"19",35640.04161,57,3,10,8,91722.42434,"Belkin"
"20",98780.08068,77,1,12,6,139597.9537,"Belkin"
"21",140685.8197,73,2,8,1,185189.3088,"Belkin"
"22",109305.1954,31,2,17,0,166310.2379,"Elago"
"23",117212.3783,30,3,6,7,260175.807,"Elago"
"24",41430.31861,53,2,10,5,7023.300616,"Elago"
"25",56118.04644,69,4,2,8,41596.72091,"Belkin"
"26",79203.78449,75,2,4,0,461032.0939,"Belkin"
"27",67249.51459,30,2,11,6,455241.0776,"Belkin"
"28",22854.2421,72,2,6,1,321523.4878,"Belkin"
"29",116690.5653,50,2,10,1,199885.5631,"Belkin"
"30",94375.87719,27,3,18,4,403469.11,"Belkin"
"31",91129.12641,75,3,10,6,328625.351,"Belkin"
"32",94446.2489,67,3,8,5,352264.6121,"Belkin"
"33",83858.10407,20,4,5,8,51211.42228,"Elago"
"34",49898.09807,72,4,12,6,484565.2146,"Belkin"
"35",40408.25989,54,2,14,0,437909.3552,"Elago"
"36",48225.18379,25,4,6,3,179703.2016,"Elago"
"37",45520.00972,33,1,14,2,138640.2199,"Elago"
"38",33167.37542,26,1,18,6,475809.1777,"Elago"
"39",55260.32748,59,2,7,6,450971.8521,"Belkin"
"40",100862.5066,77,3,14,7,135444.8306,"Belkin"
"41",33926.48622,42,1,15,5,338957.7912,"Elago"
"42",34547.10556,69,4,15,8,178745.3287,"Belkin"
"43",50400.92157,46,2,11,5,155881.1573,"Elago"
"44",57293.90047,61,3,2,7,254309.3692,"Belkin"
"45",84321.91334,40,4,7,7,240352.3575,"Belkin"
"46",44978.93098,51,3,8,2,30226.27318,"Elago"
"47",33261.0419,74,1,2,2,441965.5178,"Belkin"
"48",138174.402,24,1,19,7,34065.70539,"Elago"
"49",146356.9425,74,2,10,5,344798.6671,"Belkin"
"50",71550.5906,31,1,14,0,160777.2432,"Belkin"
"51",86560.86808,55,3,8,7,381447.6931,"Belkin"
"52",95906.64061,44,3,16,4,470045.167,"Belkin"
"53",79439.6358,27,4,6,7,464938.9837,"Elago"
"54",39651.73721,76,1,5,6,327289.4095,"Belkin"
"55",41118.99813,25,4,6,1,90189.79818,"Elago"
"56",93839.26542,70,2,9,3,332445.9659,"Belkin"
"57",113076.8079,45,3,16,1,365643.4332,"Belkin"
"58",32036.68512,25,3,4,3,74054.9112,"Elago"
"59",39392.14635,30,2,8,2,266690.8952,"Elago"
"60",112852.7192,48,4,14,8,407602.7403,"Belkin"
"61",38512.89603,48,1,10,3,0,"Elago"
"62",44428.60558,32,3,10,8,192674.5249,"Elago"
"63",126738.6976,28,2,20,8,149647.004,"Elago"
"64",136683.3775,24,1,8,4,212461.5516,"Elago"
"65",53883.25098,54,4,11,5,89236.34933,"Elago"
"66",133290.5005,72,1,9,3,478544.7558,"Belkin"
"67",123095.006,53,4,18,0,205545.717,"Belkin"
"68",41013.26647,77,4,3,1,246458.9741,"Belkin"
"69",53983.93486,29,3,4,7,237006.2524,"Elago"
"70",54807.82635,47,4,16,5,348471.2441,"Elago"
"71",140563.9731,45,2,16,7,343021.3822,"Elago"
"72",123345.4825,63,1,19,3,141085.0409,"Belkin"
"73",74953.43325,63,2,4,0,270405.0392,"Belkin"
"74",142358.2568,35,3,14,3,248291.2584,"Elago"
"75",119209.328,76,3,11,3,35347.59756,"Belkin"
"76",48938.46071,65,1,8,6,431340.423,"Belkin"
"77",20000,30,2,2,6,218843.651,"Elago"
"78",76509.60173,48,1,14,2,337054.1622,"Belkin"
"79",20000,51,4,3,0,470921.4124,"Elago"
"80",64910.68396,47,3,12,2,256440.2599,"Elago"
"81",38812.22676,75,1,18,6,310480.0227,"Belkin"
"82",69277.56094,20,2,1,4,93838.18629,"Belkin"
